rowid,autonumber,createdat,createdby,updatedat,updatedby,name,title,group_type,created_at_
row5841te2rd,74,2026-06-18T05:17:02.202Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,82327f78-409d-422c-9277-40b9918ec1eb,IT Department,2,
rowz77ip5273,75,2026-06-18T05:17:02.231Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rownd4mhy1yp,76,2026-06-18T05:17:02.310Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row18qhw3jct,77,2026-06-18T05:17:02.389Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2085e2c9-c235-454f-aea1-8e6fb776b688,Bookkeeping,2,
rowj7etzq2bh,78,2026-06-18T05:17:02.589Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowa5ikdhfp9,79,2026-06-18T05:17:02.794Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
rowbollckb36,80,2026-06-18T05:17:03.002Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowxcrjme75n,81,2026-06-18T05:17:03.385Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
rowyv018q039,82,2026-06-18T05:17:03.617Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
rowlotvu3adi,83,2026-06-18T05:17:03.695Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowahblhfth5,84,2026-06-18T05:17:04.195Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row2tf0hccmo,85,2026-06-18T05:17:04.473Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowl7x9q947b,86,2026-06-18T05:17:05.951Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowj7ny2lj6l,87,2026-06-18T05:17:08.867Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,15057f50-716c-43ad-899c-1093d2acb649,Indore,3,
rowo45bwtljl,88,2026-06-18T05:17:11.856Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowd0dvf9lgs,89,2026-06-18T05:17:14.876Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowi3yjup71v,90,2026-06-18T05:17:17.930Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowwqlyx5y1p,91,2026-06-18T05:17:21.010Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
row1aovwx9bc,92,2026-06-18T05:17:24.011Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
row2vi7eepoz,93,2026-06-18T05:17:27.064Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowbhhdjz08n,94,2026-06-18T05:17:30.037Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowv730boy1f,95,2026-06-18T05:17:33.161Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowpwdf8udog,96,2026-06-18T05:17:36.137Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
